FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Redable
9e3f812c93e0763ba125c6e20942a03c19391ba8.yml,425,0.8347107438016529,0.0541176470588235,0.790633608815427,0.108235294117647,1.0495867768595042,12.751445086705202,0.5058823529411764,0.0953678474114441,2.436170212765957,0.5440414507772021,42.59294117647059,2.371900826446281,1.1735537190082646,77.11538461538461,5.573934837092732,34,5,10,290,32,784,17,289,0
faeab22934c136be6820a646ee1fed73c4cf5132.yml,86,1.1408450704225352,0.127906976744186,0.352112676056338,0.0581395348837209,1.9859154929577465,5.0,0.0697674418604651,0.2816901408450704,4.084507042253521,0.2439024390243902,39.872093023255815,1.267605633802817,0.8732394366197183,64.54761904761905,8.024390243902438,5,1,12,313,24,198,19,332,1
4cd2f6b88bf99f80cc9d78663c130f4f6463e189.yml,88,1.1506849315068493,0.125,0.3424657534246575,0.0568181818181818,1.9863013698630136,5.0,0.0681818181818181,0.3013698630136986,4.082191780821918,0.238095238095238,40.42045454545455,1.273972602739726,0.9041095890410958,65.06818181818181,8.261904761904763,5,1,12,308,24,211,19,327,0
ad45cc9cc682cecc6422fe2bb411c76921f2208e.yml,34,0.6176470588235294,0.0,1.0294117647058822,0.0,1.3235294117647058,0.0,0.0,0.0,1.0,0.7941176470588235,46.91176470588236,1.2058823529411764,0.5294117647058824,114.8181818181818,4.294117647058823,0,0,4,183,13,125,0,186,1
8d5f59e5d7cde1c31d5d76ea221dd3fc46c3f0f1.yml,32,0.78125,0.0,1.03125,0.0,1.40625,0.0,0.0,0.0,0.9375,0.78125,51.03125,1.28125,0.625,114.8181818181818,4.625,0,0,4,183,13,123,0,186,0
4aa71ca221b1d8eed23828f202918c0bc144ab22.yml,70,0.7391304347826086,0.1,0.782608695652174,0.5714285714285714,1.2608695652173914,15.0,0.1,0.0,1.1162790697674418,0.5666666666666667,45.47142857142857,0.3478260869565217,0.0,0.0,3.48,21,1,6,114,4,56,3,0,1
84e0164312addd7651267f93799feb67d321e951.yml,60,0.3636363636363636,0.1333333333333333,0.8181818181818182,0.5,0.7727272727272727,13.6,0.0833333333333333,0.0,1.4,0.5666666666666667,37.16666666666666,0.3636363636363636,0.0,38.0,2.6578947368421053,20,1,6,114,4,38,3,38,1
cdfc0c73dace172e736402218345a57a3c740e9f.yml,44,0.027027027027027,0.1363636363636363,0.7297297297297297,0.0227272727272727,1.135135135135135,0.0,0.0,0.0,2.918918918918919,0.627906976744186,35.13636363636363,3.2972972972972974,0.0,105.0,4.046511627906977,0,0,6,691,116,83,0,107,1
763836a71d42a175ce8966b168d625e4a3e864f2.yml,43,0.0277777777777777,0.1395348837209302,0.7222222222222222,0.0232558139534883,1.1666666666666667,0.0,0.0,0.0,2.888888888888889,0.6190476190476191,35.55813953488372,3.388888888888889,0.0,105.0,4.023809523809524,0,0,6,691,116,81,0,107,0
e77fa5b1182a065faedd45677bfe63ef8b5e2a0c.yml,44,0.027027027027027,0.1363636363636363,0.7297297297297297,0.0227272727272727,1.135135135135135,0.0,0.0,0.0,2.918918918918919,0.627906976744186,35.13636363636363,3.2972972972972974,0.0,105.0,4.046511627906977,0,0,6,691,116,83,0,107,1
