repo,before,after,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
Netflix-Skunkworks/Scumblr,3299597b0ec17663a3b0144aedc1c1a339b5bc60,88dd105f463e94fe745884d671f937372ac44354,-1.0,0.0,-0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676470588235292,1.0992647058823515,0.0,0.0,0.0,0.1911764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquia/blt,b96b7ad1a472dabcf19f0de05085879f4c08229f,32c514cc8cd216549f4b82e4ffbccdce6208df88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open-keychain/open-keychain,3cc2f549ef59559c8376ae6cf3f96fc92569e565,ebda5e218af33c949d2c5dff5478eaf23475f0a4,-11.0,0.02532928064842957,0.012105649303008066,0.022796352583586615,-0.14710198092443139,0.02279635258358681,0.0,0.012105649303008066,0.005065856129685915,0.04863221884498481,0.020000000000000018,-6.394350696991932,-0.1828774062816616,-0.10739614994934144,-1.2311212814645316,-0.28888888888888875,0.0,0.0,0.0,-5.0,-5.0,-10.0,0.0,-5.0
glennrp/libpng,28c0f8895e4ac270b56b5c7e8089dd2417bc4e3c,3676fd324a8920930f1ee66248e3119d30c7c9a2,-2.0,0.024369747899159577,-0.01531480431083379,-0.016806722689075626,0.0,0.03277310924369736,0.0,0.024957458876914362,0.0,0.055462184873949605,-0.007373794668179223,0.7413499716392487,0.00840336134453784,0.003361344537815128,-0.8333333333333286,0.1049347702779353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bkimminich/juice-shop,cf788c99e8123d552df79f9d4923495a6b38a2b0,e695da6744aae4973852b679d9c855c5a0771445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosureTree/closure_tree,3037462719c8b20b1115512e3e05f6ac77bf8d38,3b7abddc7b43496eecfa43f4170280ae6f7c1d2e,-3.0,0.008898776418242493,0.010465116279069764,-0.017797552836484987,-0.01453488372093023,-0.004449388209121219,0.0,0.005232558139534882,0.0,-0.17575083426028915,-0.02316602316602323,-1.015116279069769,-0.031145717463848643,0.0,0.0,-0.19382239382239375,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0
mher/flower,d9fa862ea311d091ca411a2dea746acf5560216c,83cd8ae8f55cea5b2ddf88b467f4d0894772b954,-8.0,-0.46153846153846156,0.0,-0.36923076923076925,-0.2777777777777778,-0.6692307692307691,0.0,0.0,-0.16666666666666666,0.19999999999999996,0.09230769230769231,-22.9,-0.3538461538461537,-1.3846153846153846,-34.7,-1.833333333333333,0.0,0.0,0.0,-41.0,-1.0,-12.0,0.0,-49.0
u-boot/u-boot,f36f15b64b65f949ea0afe781fefe93c2e803ebd,bb9a76ea67fe9b85961b50d9f95b772d6859edaa,5.0,-0.0037257824143069884,-0.00021563342318059453,0.0007282211082508816,0.0013656783468104228,-0.0027435306868988096,0.0,-0.0031805929919137554,-0.00034400250739605176,-0.014245526056279267,0.0008709677419355133,-0.10707996406109643,-0.010228966264733907,-0.0028451429345617285,-0.37664473684210265,-0.0132787926114597,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
keyboardio/Kaleidoscope,0659e788167ae7f70fe08f8cce9cf32877b9fc6a,5411d6e30e5a5c037a76531ef108ac903794821d,-7.0,0.023809523809523808,0.0,0.0,0.0,0.16666666666666663,0.0,0.0,0.0,-0.9999999999999998,0.04761904761904756,-1.5,0.023809523809523808,-0.6190476190476191,0.0,-1.0952380952380953,0.0,0.0,-2.0,0.0,0.0,-17.0,0.0,0.0
FluidTYPO3/vhs,242cc4ea4025d024d99f019686a9d41b12bbbe77,1b3096841c83b787763e5de18af659a01d6a67fa,-3.0,-0.10290697674418603,0.008391608391608407,0.029651162790697683,0.004195804195804204,-0.20465116279069795,0.0,0.010489510489510495,-0.05321507760532149,-0.008314855875831695,0.02083333333333337,-5.286013986013991,0.02034883720930236,-0.21627906976744182,-7.863395225464188,-0.7739403453689171,0.0,0.0,0.0,0.0,0.0,-34.0,-3.0,0.0
