FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Readable
72025dbad1e02a01fefad1be7df5c843c1c98983.yml,52,0.55,0.15384615384615385,1.0,0.09615384615384616,0.4,6.0,0.40384615384615385,0,6.454545454545454,0.8333333333333334,19.76923076923077,1.75,0,0,7.038461538461538,6,3,10,182,21,48,15,0,1.0
0c288dee3d71baa4e90f03f9900cec659dd87300.yml,99,0.2835820895522388,0.2222222222222222,0.1791044776119403,0.10101010101010101,1.4328358208955223,10.0,0.010101010101010102,0.10810810810810811,4.391891891891892,0.10112359550561797,24.03030303030303,0.5373134328358209,0.5074626865671642,36.407407407407405,6.09375,10,1,12,84,3,155,3,94,1.0
f5d3fa22405b23701a8ee192188bbffb6f11e33f.yml,140,0.14516129032258066,0.05714285714285714,0.13709677419354838,0.05714285714285714,1.217741935483871,8.5,0.04285714285714286,0.05303030303030303,8.5,0.12878787878787878,16.9,0.967741935483871,0.20967741935483872,21.047619047619047,10.17142857142857,15,2,16,110,23,165,4,115,1.0
c8090b96c73b752cafee3082739840d056f4c03b.yml,63,0.1282051282051282,0.1746031746031746,0.28205128205128205,0.23809523809523808,1.3333333333333333,14.0,0.031746031746031744,0,1.44,0.22,27.523809523809526,0.48717948717948717,0,39.88461538461539,2.8524590163934427,14,1,4,94,8,94,3,73,1.0
67d47584169098cc91a5ed5a45c5b8c75f59d981.yml,49,0.23684210526315788,0.02040816326530612,0.21052631578947367,0.20408163265306123,1.631578947368421,5.5,0.08163265306122448,0.047619047619047616,4.333333333333333,0.20512820512820512,33.97959183673469,0.7894736842105263,0.5789473684210527,38.62068965517241,7.348837209302325,6,2,9,124,6,96,11,129,1.0
9322371742c37359aa6e7d1968905fb6af0ea592.yml,56,0.24074074074074073,0,0.7037037037037037,0.03571428571428571,0.7592592592592593,12.833333333333334,0.21428571428571427,0,2.709090909090909,0.6481481481481481,18.910714285714285,0.4074074074074074,0.07407407407407407,22.375,3.9272727272727272,22,1,6,70,3,55,9,32,1.0
fa18167a3b7ff9a97161eb365e22b2aa92b256ba.yml,25,0.11764705882352941,0.16,0.5294117647058824,0.16,1.411764705882353,2.0,0.04,0,2.4761904761904763,0.42857142857142855,22.6,0.6470588235294118,0,36.9,4.08,2,1,16,57,3,33,1,61,1.0
24e05d0718964df54c0d44115cc221fa2750bda8.yml,56,0.1891891891891892,0.25,0.4594594594594595,0.08928571428571429,1.1081081081081081,0,0,0,2.380952380952381,0.3333333333333333,17.339285714285715,1.4864864864864864,0,26.0,3.2142857142857144,0,0,16,180,29,51,0,52,1.0
a45b4b4ecaad9e62d01e2bc162212e178dedd47c.yml,23,0,0.17391304347826086,0.7894736842105263,0,0.6842105263157895,0,0,0,2.0,0.6086956521739131,14.91304347826087,1.736842105263158,0.10526315789473684,27.0,2.4347826086956523,0,0,4,97,19,29,0,27,1.0
b5d99b2e71a7c1ec0041ade31aca60942777a662.yml,69,0.203125,0.043478260869565216,0.796875,0.028985507246376812,1.046875,9.5,0.057971014492753624,0,4.8125,0.7611940298507462,19.202898550724637,0.921875,0,0,6.17910447761194,10,2,8,180,25,84,1,0,1.0
6ab4c63211ccc9b4632be931c1c09b294c0e8b7d.yml,24,0,0.125,0.4,0.25,1.4666666666666666,0,0,0,0.9523809523809523,0.2777777777777778,27.416666666666668,0.26666666666666666,0.4,30.7,3.0416666666666665,0,0,2,88,2,30,0,91,1.0
3715a101c20127059d305bc8cd5fe10d6da22733.yml,73,0.47540983606557374,0.1095890410958904,0.9016393442622951,0.0547945205479452,1.3934426229508197,0,0,0,2.246153846153846,0.5217391304347826,26.602739726027398,2.4918032786885247,0.4918032786885246,32.5,4.657534246575342,0,0,4,97,12,88,0,46,1.0
d5f1eb1ec37b3f1c7d7aefd0a6b90ba17b3308a7.yml,28,0.10714285714285714,0,0.8214285714285714,0.03571428571428571,0.7857142857142857,0,0,0,1.8571428571428572,0.7142857142857143,29.285714285714285,1.75,0,42.0,2.9642857142857144,0,0,6,181,24,55,0,56,1.0
e7af15af14a55ddb94a252de4e449731c65846a3.yml,43,0.11627906976744186,0,0.8372093023255814,0,0.8372093023255814,0,0,0,2.6511627906976742,0.7906976744186046,32.23255813953488,2.302325581395349,0,32.714285714285715,3.883720930232558,0,0,6,179,24,80,0,57,1.0
