Delta,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
07b563b65c4abbead8228087bf3874ead686729e.yml => 6287b2d91a59b0101f4ae541e8f5b74008f9e6f5.yml,-1,0.06874999999999998,0.0,-0.014583333333333282,-0.0909090909090909,0.008333333333333304,-0.008275862068966688,0.15246212121212122,0.0,0.125,-0.05625000000000002,-1.2765151515151487,0.04791666666666661,0.0,-4.799999999999997,0.125,0,0,0,0,0,4,0,-18
280cc1f602b5ac630c34d17402da2000d4383ede.yml => a5b8897831542737b991c014ca3c859f0eb89736.yml,-2,0.0,0.040404040404040414,0.12698412698412698,0.0,-1.6825396825396828,0.0,0.0,0.0,-0.25396825396825407,0.08080808080808083,-15.949494949494948,0.09523809523809518,0.0,-46.5,-1.6868686868686869,0,0,0,-76,0,-22,0,-86
c9bcd3b068b2185352f794f75cb8b07f71ad59ce.yml => e87454875cebedd0623fc45d1e5f381954d44c31.yml,-1,0.0,0.0,0.09523809523809523,0.0,-0.33333333333333337,0.0,0.0,0.0,-0.19047619047619047,0.09523809523809523,-0.9761904761904745,-0.09523809523809518,0.0,8.0,-0.5952380952380951,0,0,0,0,-1,-1,0,0
55f426f6338d374dc790ebfba89665b76caf420b.yml => 0fa78156a29bbaeb4d93a189121b23534190c578.yml,-97,-0.5317139001349527,0.05,-0.38101664417453895,0.0,-0.17228969860548804,0.0,-1.3555555555555556,0.0,-0.5713000449842556,-0.40470085470085465,-123.88119658119659,-20.265856950067473,-0.0512820512820512,-14.783333333333339,-1.48034188034188,0,-1,0,-135,-37,-444,0,-35
900af9028fb65afa1a4eac2a0a70b235e48389d0.yml => 6fdfc72557b5fef946abc91b8ddcbfd960b1ac6d.yml,10,0.0013175230566535023,-0.0277777777777777,0.11857707509881427,-0.0555555555555555,-0.18511198945981566,0.0,0.0,0.0,0.2534161490683229,0.1265984654731458,-4.131642512077299,-0.16996047430830052,0.0,-15.571428571428584,-0.10386473429951693,0,0,0,-17,0,7,0,-37
9b5062358a0ed9c7a82c19cc0225c68bd2833756.yml => 348ff2d77b4184308c768203f9c39def647fc3f6.yml,-2,0.008771929824561375,-0.013460703430308307,-0.006072874493927127,0.003473729917499002,0.019568151147098534,0.0,0.006079027355623101,0.0013495276653172003,0.06072874493927127,0.0027173913043477826,0.37342596613113344,0.023616734143049767,0.0026990553306342896,0.0,0.14311594202898537,0,0,0,0,0,-4,0,0
c4a0e491b1da57e0571317a4137eaeeed86651ad.yml => c4621165f3fbaba40a5343b9a6b5f6e4cda97287.yml,-1,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.04999999999999982,0.0,0.0,0.0,-0.050000000000000044,0,0,0,0,0,0,0,0
40a161cc1d5b55a1222e6a3275ae7d73bf34cfc0.yml => b2fc5413490005df04c565d5371a2d920149642c.yml,2,0.0,0.0,-0.4,0.0,0.4,0.0,0.0,0.0,0.8,-0.4,-4.0,0.19999999999999996,0.0,0.0,0.6000000000000001,0,0,2,0,0,-1,0,0
9c3678e980c3728a031fc8ddb6889caae0f44fe7.yml => f43f6ec2185332fb7c7a4183b04e6a1eb57cc2d7.yml,-17,-0.14177489177489178,0.0668896321070234,-0.007936507936507908,0.0,0.0620490620490628,0.9499999999999993,-0.17447045707915282,0.06854256854256852,-1.9213564213564212,-0.04542920847268678,1.3637123745819366,0.4087301587301587,0.2741702741702743,0.1538461538461604,-1.55685618729097,0,0,0,0,0,-32,-5,0
a06e7d5ea1bba84389b394562af8ec616a2860f8.yml => 8f71c56a51ef991d9f23ffb9bec6bd8c24c21fd3.yml,10,-0.3479750778816202,0.010884446878422799,-0.0322949117341641,-0.07667031763417309,-0.23271028037383146,0.0,-0.0687979189485215,0.016966449802270696,0.7041714504401071,-0.022280092592592504,-1.1153477546549837,-0.6833852544132917,0.05212876427829699,-12.516666666666673,0.21600955794504184,0,0,0,-36,-4,3,2,-45
0e2e8c446d3d4c222126fcbfa322cdd4a0f17ff5.yml => e60448de828eb2974d5e6b5ec8ed55b594ff814b.yml,-4,-0.04743083003952572,-0.0038759689922480134,0.0,0.003100775193798505,0.050724637681159424,0.7678571428571423,-0.0392764857881137,0.001666666666666601,0.08888888888888857,0.0005952380952380931,0.5059431524547833,0.04413702239789197,0.01712779973649542,0.0,0.14315245478036243,0,-1,0,0,0,-5,2,0
f046beea5c3f6369855f957f1b49b0f3eb54921d.yml => 8ec2f7698227b37732cd3c62c1987208fa9cc520.yml,-1,0.0,0.010822510822510789,-0.26102941176470584,0.0,-0.06617647058823517,0.0,0.0,0.0,-1.1470588235294117,-0.20779220779220786,-2.084415584415586,0.029411764705882415,0.0,2.1666666666666643,-1.1753246753246755,0,0,0,0,0,-7,0,0
d5985f24121888336b83c2648186e4db3ce8678a.yml => f44ccd7b8773c816a6da52ed0625729894fefe7e.yml,-3,-0.10810810810810809,0.007523510971786801,0.0,-0.04231974921630091,-0.43243243243243246,0.0,0.0,0.0,0.0714893617021275,0.0,-1.715047021943576,0.0,0.0,-3.6799999999999997,-0.1551724137931041,0,0,0,0,0,-8,0,0
6dd064c70e0914c5293cbb2fd4d3e9e8b7e8c96b.yml => df10d6975748cb64932ab5c3d3c81842ad3e4543.yml,-6,-0.25,0.02857142857142861,-0.045454545454545525,0.0,-0.08522727272727271,-14.0,-0.0952380952380952,0.0,-0.40909090909090917,-0.04761904761904756,-4.961904761904762,0.17045454545454541,-0.125,-18.166666666666664,-0.4380952380952381,-14,-1,-2,8,0,-18,-3,9
