FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
be90946e4efe2c6666106e376eb51562a926ddd7.yml,51,0.37777777777777777,0,0.5555555555555556,0.1568627450980392,0.8222222222222222,9.833333333333334,0.11764705882352941,0.0425531914893617,4.25531914893617,0.5333333333333333,21.80392156862745,0.5777777777777777,0.6222222222222222,30.0,5.723404255319149,10,1,12,137,4,44,6,79
07dff7d1d614b33e3a6d3e3ade38ce648b53a632.yml,30,0.25,0,0.7083333333333334,0.23333333333333334,1.125,9.0,0.03333333333333333,0.07692307692307693,2.230769230769231,0.7083333333333334,25.7,0.125,0.3333333333333333,97.33333333333333,4.6923076923076925,9,1,6,146,2,32,1,164
42421825884b5aaa52fbe1331b23bacaaaf347ee.yml,100,0.44285714285714284,0.12,0.37142857142857144,0.19,1.8857142857142857,10.0,0.23,0.047619047619047616,3.0476190476190474,0.24390243902439024,28.9,1.9285714285714286,0.2857142857142857,35.979166666666664,5.15625,10,3,8,117,15,132,20,117
784b20c04d299ccb7a7fb9d3c90aa31dff3bf520.yml,76,0.6666666666666666,0.13157894736842105,0.5625,0.25,2.7916666666666665,10.0,0.3026315789473684,0,2.1774193548387095,0.2413793103448276,40.88157894736842,2.9166666666666665,0.5,71.5,5.791666666666667,10,3,9,118,21,134,20,133
2c598cc77822b27eef5ee6c2810ed6da49ff95bf.yml,354,0.4702194357366771,0.022598870056497175,0.4827586206896552,0.0847457627118644,1.3824451410658307,15.0,0.002824858757062147,0.003115264797507788,5.364485981308412,0.46788990825688076,18.774011299435028,0.25705329153605017,0.0438871473354232,42.5,6.3465045592705165,15,1,8,256,5,441,3,68
1753e4140b1eea1b26a9bab61cd36a645a9ba1fe.yml,474,0.4337899543378995,0.016877637130801686,0.5159817351598174,0.05907172995780591,1.269406392694064,5.475,0.2510548523206751,0.0022675736961451248,5.360544217687075,0.5044843049327354,17.637130801687764,0.2762557077625571,0.0273972602739726,46.4,6.287305122494432,15,7,8,256,5,556,27,68
9f94e6208b0ab7f879c6fd35b9c1430f1ed09a64.yml,86,0.42105263157894735,0.11627906976744186,0.3684210526315789,0.2558139534883721,1.4736842105263157,6.2,0.23255813953488372,0.013888888888888888,2.638888888888889,0.29850746268656714,24.63953488372093,0.42105263157894735,0.3508771929824561,39.375,4.219512195121951,13,1,8,91,5,84,17,57
4682ffcbb0fe16ab21bd05a03af50125e6fab640.yml,95,0.4153846153846154,0.10526315789473684,0.3230769230769231,0.24210526315789474,1.353846153846154,6.2,0.21052631578947367,0.024691358024691357,2.814814814814815,0.26666666666666666,25.652631578947368,0.36923076923076925,0.5538461538461539,33.1875,4.56043956043956,13,1,8,91,5,88,19,57
0138d609f7722d4e2ca0226aa21e0795384b4a2e.yml,230,0.47767857142857145,0.021739130434782608,0.6428571428571429,0.004347826086956522,2.049107142857143,12.74,0.21739130434782608,0.044642857142857144,6.004464285714286,0.5676855895196506,27.265217391304347,0.16964285714285715,0.49107142857142855,37.72727272727273,8.31004366812227,22,1,16,374,2,459,32,108
07d98957981a30055e98486911cecc736421467d.yml,263,0.5330739299610895,0.019011406844106463,0.5603112840466926,0.0038022813688212928,1.9182879377431907,11.85,0.3041825095057034,0.038910505836575876,6.35408560311284,0.4961832061068702,25.513307984790874,0.14785992217898833,0.41245136186770426,38.53191489361702,8.374045801526718,22,1,16,374,2,493,28,108
a9690ace022c7b978ec4efd3f387267364682492.yml,625,0.44264943457189015,0.0096,0.529886914378029,0,1.9305331179321485,14.116279069767442,0.2752,0.033925686591276254,4.274636510500808,0.5248,24.9296,0.4604200323101777,0.1421647819063005,41.5,5.9264,22,1,12,691,85,1195,59,108
a1a1c47b063a80802b7fa4a407878484beeab60d.yml,624,0.441747572815534,0.009615384615384616,0.5339805825242718,0,1.9336569579288025,14.116279069767442,0.27564102564102566,0.03398058252427184,4.275080906148867,0.5288461538461539,24.927884615384617,0.46116504854368934,0.1423948220064725,41.69620253164557,5.92948717948718,22,1,12,691,85,1195,59,108
6b1ed6e021c1380e8cdff41cf6a7a05c541d6b09.yml,92,0.8695652173913043,0.06521739130434782,0.9565217391304348,0.1956521739130435,3.739130434782609,4.2,0.22826086956521738,0,5.52112676056338,0.8,52.31521739130435,3.5942028985507246,0.2898550724637681,0,7.0,7,4,12,694,106,258,15,0
52ecafc8884fdd129fb98e93001ccc3ad3222aa2.yml,89,0.9866666666666667,0.07865168539325842,0.7333333333333333,0.07865168539325842,3.6533333333333333,4.882352941176471,0.25842696629213485,0.07792207792207792,5.116883116883117,0.6097560975609756,50.46067415730337,3.3466666666666667,0.64,87.71428571428571,6.869047619047619,16,4,12,694,106,274,19,145
c7987a31626a4c6694bdf3492e0ade7f9884677c.yml,427,0.2962962962962963,0.06323185011709602,0.5669515669515669,0.11475409836065574,1.7179487179487178,4.529411764705882,0.03981264637002342,0.028205128205128206,5.62051282051282,0.37037037037037035,27.627634660421545,0.4045584045584046,1.0227920227920229,31.01098901098901,8.599520383693045,9,1,16,109,10,668,15,109
dcae185a000576fc91c12287149e65b7588e925e.yml,333,0.3726235741444867,0.09009009009009009,0.30798479087452474,0.12012012012012012,1.4524714828897338,4.68,0.07507507507507508,0.026845637583892617,7.315436241610739,0.24573378839590443,23.83783783783784,0.4524714828897338,0.4752851711026616,32.131979695431475,9.192073170731707,9,1,18,109,10,382,12,109
e3db4cb8b992a283aabfad7bae621fe90e6273ff.yml,24,0.625,0.20833333333333334,0.5,0.125,2.375,7.0,0.20833333333333334,0,2.125,0.38095238095238093,22.083333333333332,3.0,0,0,4.428571428571429,7,1,4,67,13,38,5,0
70c1b1ac9269d7953929701741aa7d918a19a198.yml,22,0.6666666666666666,0.18181818181818182,0.4666666666666667,0.13636363636363635,2.533333333333333,7.0,0.22727272727272727,0,2.2666666666666666,0.3684210526315789,23.636363636363637,3.2,0,0,3.6842105263157894,7,1,4,67,13,38,5,0
